province,district,target_yield_t_ha,strategy,efficiency_metric,n_pixels,supported_pixels,median_predicted_AE_N,median_predicted_PFP_N,median_predicted_yield_difference_from_GR_kg_ha,strategy_N_rate_kg_ha,median_reference_N_kg_ha,median_N_required_for_same_target_yield,median_N_change_for_same_target_yield,median_N_reduction_for_same_target_yield,median_N_increase_for_same_target_yield,median_predicted_yield_retention,median_efficiency_ratio_to_GR
Karnali,Rukum_w,8.0,PCU_N120,PFP,12,0,,57.64042108921056,-52.41284750146563,120.0,218.4431554524362,138.79152465213866,-82.60578541735987,82.60578541735987,0.0,0.9906028713278776,0.9906777271552154
Karnali,Rukum_w,8.0,PCU_N60,PFP,12,0,,131.50998262668668,-942.2872297489637,60.0,218.4431554524362,60.8321027220382,-158.03787035015887,158.03787035015887,0.0,0.9245128770613333,1.844256912745188
Karnali,Rukum_w,8.0,TIMING_V6_V10,AE,12,0,12.633464712651985,,-248.9471795198549,120.0,218.4431554524362,140.28529160064048,-77.71028460348148,77.71028460348148,0.0,0.9568784899606209,1.5336112802322344
Karnali,Rukum_w,8.0,UDP_N78,PFP,12,0,,97.69044707946296,-1571.143229786108,78.0,218.4431554524362,81.89134459465794,-137.67223773333012,137.67223773333012,0.0,0.876145111034988,1.350158232446612
Karnali,Rukum_w,10.0,FYM_N60,PFP,12,0,,99.32901140811063,-873.358250614591,60.0,318.4431554524362,100.6755601507731,-219.018778628912,219.018778628912,0.0,0.86349343608408,1.7265278578551317
Karnali,Rukum_w,10.0,GR,AE,12,0,11.238767064100564,,0.0,120.0,318.4431554524362,318.4431554524362,0.0,-0.0,0.0,1.0,1.0
Karnali,Rukum_w,10.0,N180,AE,12,0,7.216053519854876,,248.5948536418743,180.0,318.4431554524362,364.4515535954116,41.40932621722132,0.0,41.40932621722132,1.0318634297455047,0.8863518374438589
Karnali,Rukum_w,10.0,N210,AE,12,0,5.820834453324397,,216.52994491916263,210.0,318.4431554524362,1172.0767415786029,853.9471592120135,0.0,853.9471592120135,1.0515704960150216,0.2747602656307717
Karnali,Rukum_w,10.0,N60,AE,12,0,10.092539170792389,,-349.26073337383724,60.0,318.4431554524362,283.1384694352693,-39.19525276607196,60.69985407230418,21.504601306232217,0.9413506041643247,1.3069966135928972
Karnali,Rukum_w,10.0,PCU_N120,PFP,12,0,,57.64042108921056,-52.41284750146563,120.0,318.4431554524362,173.48940581517334,-148.31807863944925,148.31807863944925,0.0,0.9906028713278776,0.9906777271552154
Karnali,Rukum_w,10.0,PCU_N60,PFP,12,0,,131.50998262668668,-942.2872297489637,60.0,318.4431554524362,76.04012840254775,-243.13080661519282,243.13080661519282,0.0,0.9245128770613333,1.844256912745188
Karnali,Rukum_w,10.0,TIMING_V6_V10,AE,12,0,12.633464712651985,,-248.9471795198549,120.0,318.4431554524362,204.7366592619598,-111.61210920163886,111.61210920163886,0.0,0.9568784899606209,1.5336112802322344
Karnali,Rukum_w,10.0,UDP_N78,PFP,12,0,,97.69044707946296,-1571.143229786108,78.0,318.4431554524362,102.36418074332242,-217.6737658441569,217.6737658441569,0.0,0.876145111034988,1.350158232446612
Karnali,Salyan,6.0,FYM_N60,PFP,138,44,,101.68097001162315,-777.6903104396085,60.0,101.0359048723898,59.00809187905493,-42.52619209727435,42.52619209727435,0.0,0.897927278208166,1.7936418193838373
Karnali,Salyan,6.0,GR,AE,138,51,9.592798244249497,,0.0,120.0,101.0359048723898,101.0359048723898,0.0,-0.0,0.0,1.0,1.0
Karnali,Salyan,6.0,N180,AE,138,51,8.445577210587254,,413.72240108020173,180.0,101.0359048723898,91.37309533977924,-8.93248529962856,8.93248529962856,0.0,1.0579454340532017,1.1005973776349003
Karnali,Salyan,6.0,N210,AE,138,51,4.94933138031406,,209.03438556438374,210.0,101.0359048723898,188.3480737987262,74.32927467601485,0.0,74.32927467601485,1.039136124692838,0.5547982190847158
Karnali,Salyan,6.0,N60,AE,138,51,5.868556280482712,,-445.52714137536,60.0,101.0359048723898,161.91415372334114,54.24034951288011,0.0,54.24034951288011,0.9006664715928174,0.6575413633586609
Karnali,Salyan,6.0,PCU_N120,PFP,138,44,,58.034966063129374,-97.38069675075309,120.0,101.0359048723898,103.3859484478103,3.6862607508886,0.0,3.6862607508886,0.9845213479214295,0.9843602088724623
Karnali,Salyan,6.0,PCU_N60,PFP,138,50,,134.66565575771415,-106.05577943278037,60.0,101.0359048723898,44.55479009244222,-57.11899176927119,57.11899176927119,0.0,1.0062643821830564,2.012143067835659
Karnali,Salyan,6.0,TIMING_V6_V10,AE,138,49,12.500446495394376,,-119.92965586883696,120.0,101.0359048723898,61.86340819940366,-38.99438293683204,38.99438293683204,0.0,0.9771899331394582,1.6565077806976287
Karnali,Salyan,6.0,UDP_N78,PFP,138,50,,102.6842786951853,-941.5762337973786,78.0,101.0359048723898,58.431536430415235,-42.980759083133066,42.980759083133066,0.0,0.9389030950761856,1.4432493727282714
Karnali,Salyan,8.0,FYM_N60,PFP,138,44,,101.68097001162315,-777.6903104396085,60.0,201.03590487238978,78.6774558387399,-122.57593207710826,122.57593207710826,0.0,0.897927278208166,1.7936418193838373
Karnali,Salyan,8.0,GR,AE,138,51,9.592798244249497,,0.0,120.0,201.03590487238978,201.03590487238978,0.0,-0.0,0.0,1.0,1.0
Karnali,Salyan,8.0,N180,AE,138,51,8.445577210587254,,413.72240108020173,180.0,201.03590487238978,184.0421262074322,-17.775543492989925,17.775543492989925,0.0,1.0579454340532017,1.1005973776349003
Karnali,Salyan,8.0,N210,AE,138,51,4.94933138031406,,209.03438556438374,210.0,201.03590487238978,359.12339365531807,149.5263337849126,0.0,149.5263337849126,1.039136124692838,0.5547982190847158
Karnali,Salyan,8.0,N60,AE,138,51,5.868556280482712,,-445.52714137536,60.0,201.03590487238978,313.02482868044547,106.03725080672132,0.0,106.03725080672132,0.9006664715928174,0.6575413633586609
Karnali,Salyan,8.0,PCU_N120,PFP,138,44,,58.034966063129374,-97.38069675075309,120.0,201.03590487238978,137.84793126374709,-61.82961567204312,61.82961567204312,0.0,0.9845213479214295,0.9843602088724623
Karnali,Salyan,8.0,PCU_N60,PFP,138,50,,134.66565575771415,-106.05577943278037,60.0,201.03590487238978,59.40638678992295,-142.41822645802284,142.41822645802284,0.0,1.0062643821830564,2.012143067835659
Karnali,Salyan,8.0,TIMING_V6_V10,AE,138,49,12.500446495394376,,-119.92965586883696,120.0,201.03590487238978,123.48732296076017,-79.35687999445864,79.35687999445864,0.0,0.9771899331394582,1.6565077806976287
Karnali,Salyan,8.0,UDP_N78,PFP,138,50,,102.6842786951853,-941.5762337973786,78.0,201.03590487238978,77.90871524055365,-123.61605049208404,123.61605049208404,0.0,0.9389030950761856,1.4432493727282714
Karnali,Salyan,10.0,FYM_N60,PFP,138,44,,101.68097001162315,-777.6903104396085,60.0,301.0359048723898,98.34681979842489,-203.27729966617164,203.27729966617164,0.0,0.897927278208166,1.7936418193838373
Karnali,Salyan,10.0,GR,AE,138,51,9.592798244249497,,0.0,120.0,301.0359048723898,301.0359048723898,0.0,-0.0,0.0,1.0,1.0
Karnali,Salyan,10.0,N180,AE,138,51,8.445577210587254,,413.72240108020173,180.0,301.0359048723898,274.407880487862,-26.820667364618487,26.820667364618487,0.0,1.0579454340532017,1.1005973776349003
Karnali,Salyan,10.0,N210,AE,138,51,4.94933138031406,,209.03438556438374,210.0,301.0359048723898,524.408719028386,237.29873021470488,0.0,237.29873021470488,1.039136124692838,0.5547982190847158
Karnali,Salyan,10.0,N60,AE,138,51,5.868556280482712,,-445.52714137536,60.0,301.0359048723898,462.61649109968585,157.97500339744525,0.0,157.97500339744525,0.9006664715928174,0.6575413633586609
Karnali,Salyan,10.0,PCU_N120,PFP,138,44,,58.034966063129374,-97.38069675075309,120.0,301.0359048723898,172.30991407968384,-126.81624135271183,126.81624135271183,0.0,0.9845213479214295,0.9843602088724623
Karnali,Salyan,10.0,PCU_N60,PFP,138,50,,134.66565575771415,-106.05577943278037,60.0,301.0359048723898,74.25798348740369,-227.7174611467745,227.7174611467745,0.0,1.0062643821830564,2.012143067835659
Karnali,Salyan,10.0,TIMING_V6_V10,AE,138,49,12.500446495394376,,-119.92965586883696,120.0,301.0359048723898,183.00924781508917,-119.61939785996022,119.61939785996022,0.0,0.9771899331394582,1.6565077806976287
Karnali,Salyan,10.0,UDP_N78,PFP,138,50,,102.6842786951853,-941.5762337973786,78.0,301.0359048723898,97.38589405069206,-203.8438856790629,203.8438856790629,0.0,0.9389030950761856,1.4432493727282714
Karnali,Surkhet,6.0,FYM_N60,PFP,84,52,,130.7884215719335,-610.2002912802232,60.0,69.36206496519722,45.8762051072806,-22.473090145025633,22.473090145025633,0.0,0.9306584781397966,1.8625242525985781
Karnali,Surkhet,6.0,GR,AE,84,60,15.624412429374672,,0.0,120.0,69.36206496519722,69.36206496519722,0.0,-0.0,0.0,1.0,1.0
Karnali,Surkhet,6.0,N180,AE,84,60,12.80810585893349,,225.71299458930883,180.0,69.36206496519722,77.42846528233227,13.92724679600451,0.0,13.92724679600451,1.0273340230185188,0.8339350221860389
Karnali,Surkhet,6.0,N210,AE,84,60,9.636232297764792,,53.09513987530083,210.0,69.36206496519722,111.85763107637872,36.679362408918045,0.0,36.679362408918045,1.03105927625927,0.6773712298682638
Karnali,Surkhet,6.0,N60,AE,84,60,27.33290047788461,,-404.7540225048266,60.0,69.36206496519722,46.3601181120742,-26.01725318730997,26.01725318730997,0.0,0.9618749731201797,1.680594081786126
Karnali,Surkhet,6.0,PCU_N120,PFP,84,52,,65.6886849481389,-79.10009303269382,120.0,69.36206496519722,91.33993357258495,20.83926385721745,0.0,20.83926385721745,0.9895465236441762,0.9895421288455094
Karnali,Surkhet,6.0,PCU_N60,PFP,84,59,,140.65462655476395,-154.26274709790033,60.0,69.36206496519722,42.65768377511761,-26.79556127993349,26.79556127993349,0.0,0.9842474068782219,1.9697666190825291
Karnali,Surkhet,6.0,TIMING_V6_V10,AE,84,58,11.243893634480699,,29.642103823985714,120.0,69.36206496519722,57.51655223096084,-6.811536666642009,6.811536666642009,0.0,1.0143076599080065,1.2238301416555324
Karnali,Surkhet,6.0,UDP_N78,PFP,84,59,,113.51346364740363,72.3784037468823,78.0,69.36206496519722,52.8574764617953,-17.046161085323522,17.046161085323522,0.0,1.0134424462751934,1.5575029859456264
Karnali,Surkhet,8.0,FYM_N60,PFP,84,52,,130.7884215719335,-610.2002912802232,60.0,169.36206496519722,61.168273476374125,-107.02178288233051,107.02178288233051,0.0,0.9306584781397966,1.8625242525985781
Karnali,Surkhet,8.0,GR,AE,84,60,15.624412429374672,,0.0,120.0,169.36206496519722,169.36206496519722,0.0,-0.0,0.0,1.0,1.0
Karnali,Surkhet,8.0,N180,AE,84,60,12.80810585893349,,225.71299458930883,180.0,169.36206496519722,198.46267983205286,34.230649056690524,0.0,34.230649056690524,1.0273340230185188,0.8339350221860389
Karnali,Surkhet,8.0,N210,AE,84,60,9.636232297764792,,53.09513987530083,210.0,169.36206496519722,268.327317600825,83.81617051445033,0.0,83.81617051445033,1.03105927625927,0.6773712298682638
Karnali,Surkhet,8.0,N60,AE,84,60,27.33290047788461,,-404.7540225048266,60.0,169.36206496519722,114.86937800815424,-69.13362787354767,69.13362787354767,0.0,0.9618749731201797,1.680594081786126
Karnali,Surkhet,8.0,PCU_N120,PFP,84,52,,65.6886849481389,-79.10009303269382,120.0,169.36206496519722,121.78657809677993,-51.45068376655615,51.45068376655615,0.0,0.9895465236441762,0.9895421288455094
Karnali,Surkhet,8.0,PCU_N60,PFP,84,59,,140.65462655476395,-154.26274709790033,60.0,169.36206496519722,56.87691170015682,-112.92292934772262,112.92292934772262,0.0,0.9842474068782219,1.9697666190825291
Karnali,Surkhet,8.0,TIMING_V6_V10,AE,84,58,11.243893634480699,,29.642103823985714,120.0,169.36206496519722,147.1520845515642,-26.799648338460784,26.799648338460784,0.0,1.0143076599080065,1.2238301416555324
Karnali,Surkhet,8.0,UDP_N78,PFP,84,59,,113.51346364740363,72.3784037468823,78.0,169.36206496519722,70.47663528239374,-99.5216529003147,99.5216529003147,0.0,1.0134424462751934,1.5575029859456264
Karnali,Surkhet,10.0,FYM_N60,PFP,84,52,,130.7884215719335,-610.2002912802232,60.0,269.3620649651972,76.46034184546767,-190.24750517851726,190.24750517851726,0.0,0.9306584781397966,1.8625242525985781
Karnali,Surkhet,10.0,GR,AE,84,60,15.624412429374672,,0.0,120.0,269.3620649651972,269.3620649651972,0.0,-0.0,0.0,1.0,1.0
Karnali,Surkhet,10.0,N180,AE,84,60,12.80810585893349,,225.71299458930883,180.0,269.3620649651972,326.2316643864509,54.28203117121319,0.0,54.28203117121319,1.0273340230185188,0.8339350221860389
Karnali,Surkhet,10.0,N210,AE,84,60,9.636232297764792,,53.09513987530083,210.0,269.3620649651972,412.8808091206705,129.42446898666384,0.0,129.42446898666384,1.03105927625927,0.6773712298682638
Karnali,Surkhet,10.0,N60,AE,84,60,27.33290047788461,,-404.7540225048266,60.0,269.3620649651972,180.75843811800826,-111.28256400266434,111.28256400266434,0.0,0.9618749731201797,1.680594081786126
Karnali,Surkhet,10.0,PCU_N120,PFP,84,52,,65.6886849481389,-79.10009303269382,120.0,269.3620649651972,152.2332226209749,-121.94429914678587,121.94429914678587,0.0,0.9895465236441762,0.9895421288455094
Karnali,Surkhet,10.0,PCU_N60,PFP,84,59,,140.65462655476395,-154.26274709790033,60.0,269.3620649651972,71.09613962519603,-199.35208575013874,199.35208575013874,0.0,0.9842474068782219,1.9697666190825291
Karnali,Surkhet,10.0,TIMING_V6_V10,AE,84,58,11.243893634480699,,29.642103823985714,120.0,269.3620649651972,230.32577795813512,-45.630093320689966,45.630093320689966,0.0,1.0143076599080065,1.2238301416555324
Karnali,Surkhet,10.0,UDP_N78,PFP,84,59,,113.51346364740363,72.3784037468823,78.0,269.3620649651972,88.09579410299217,-181.88978065716418,181.88978065716418,0.0,1.0134424462751934,1.5575029859456264
Province 5,Arghakhanchi,6.0,FYM_N60,PFP,57,14,,99.20601684264896,-918.0046623049184,60.0,110.43619489559168,60.48020262235327,-55.70568530175132,55.70568530175132,0.0,0.8613537954328179,1.721764540488887
Province 5,Arghakhanchi,6.0,GR,AE,57,15,12.115766358328111,,0.0,120.0,110.43619489559168,110.43619489559168,0.0,-0.0,0.0,1.0,1.0
Province 5,Arghakhanchi,6.0,N180,AE,57,15,10.127074729320205,,272.9970279191343,180.0,110.43619489559168,110.88241028901118,-1.8346025009430775,1.8346025009430775,0.0,1.039359220975458,1.015696896460412
Province 5,Arghakhanchi,6.0,N210,AE,57,15,8.737632891283274,,223.30944891291642,210.0,110.43619489559168,201.2799243560415,91.25424282430335,0.0,91.25424282430335,1.0366827733017232,0.5814029062818692
Province 5,Arghakhanchi,6.0,N60,AE,57,15,12.82310236399385,,-633.6874808252805,60.0,110.43619489559168,192.66185857964385,87.75443924998933,0.0,87.75443924998933,0.8834977021895483,0.544088346281603
Province 5,Arghakhanchi,6.0,PCU_N120,PFP,57,14,,60.05896322882709,-136.37896997580512,120.0,110.43619489559168,99.9018244310971,-16.624247645391648,16.624247645391648,0.0,0.980289223895068,0.9802079783489586
Province 5,Arghakhanchi,6.0,PCU_N60,PFP,57,15,,140.81649323964737,-371.1704202199464,60.0,110.43619489559168,42.608645208831824,-68.8280961033863,68.8280961033863,0.0,0.9642607236773413,1.9304565757126697
Province 5,Arghakhanchi,6.0,TIMING_V6_V10,AE,57,15,12.29773494844052,,-294.57837753221366,120.0,110.43619489559168,75.81287197680882,-32.5870523789324,32.5870523789324,0.0,0.9565602514446578,1.4257126185600535
Province 5,Arghakhanchi,6.0,UDP_N78,PFP,57,15,,113.03774811547657,-992.1071653269936,78.0,110.43619489559168,53.079613669148365,-57.1187205075151,57.1187205075151,0.0,0.9208348926090336,1.4169525429740157
Province 5,Arghakhanchi,8.0,FYM_N60,PFP,57,14,,99.20601684264896,-918.0046623049184,60.0,210.43619489559168,80.64027016313769,-137.18585865471846,137.18585865471846,0.0,0.8613537954328179,1.721764540488887
Province 5,Arghakhanchi,8.0,GR,AE,57,15,12.115766358328111,,0.0,120.0,210.43619489559168,210.43619489559168,0.0,-0.0,0.0,1.0,1.0
Province 5,Arghakhanchi,8.0,N180,AE,57,15,10.127074729320205,,272.9970279191343,180.0,210.43619489559168,208.47349152142755,-3.3800336738760564,3.3800336738760564,0.0,1.039359220975458,1.015696896460412
Province 5,Arghakhanchi,8.0,N210,AE,57,15,8.737632891283274,,223.30944891291642,210.0,210.43619489559168,387.69171536729095,163.2520070589374,0.0,163.2520070589374,1.0366827733017232,0.5814029062818692
Province 5,Arghakhanchi,8.0,N60,AE,57,15,12.82310236399385,,-633.6874808252805,60.0,210.43619489559168,376.2749184815132,171.54812033766174,0.0,171.54812033766174,0.8834977021895483,0.544088346281603
Province 5,Arghakhanchi,8.0,PCU_N120,PFP,57,14,,60.05896322882709,-136.37896997580512,120.0,210.43619489559168,133.20243257479612,-84.18201516480397,84.18201516480397,0.0,0.980289223895068,0.9802079783489586
Province 5,Arghakhanchi,8.0,PCU_N60,PFP,57,15,,140.81649323964737,-371.1704202199464,60.0,210.43619489559168,56.8115269451091,-153.18965009761249,153.18965009761249,0.0,0.9642607236773413,1.9304565757126697
Province 5,Arghakhanchi,8.0,TIMING_V6_V10,AE,57,15,12.29773494844052,,-294.57837753221366,120.0,210.43619489559168,145.26136638752075,-62.45860852085164,62.45860852085164,0.0,0.9565602514446578,1.4257126185600535
Province 5,Arghakhanchi,8.0,UDP_N78,PFP,57,15,,113.03774811547657,-992.1071653269936,78.0,210.43619489559168,70.77281822553115,-139.319777260993,139.319777260993,0.0,0.9208348926090336,1.4169525429740157
Province 5,Arghakhanchi,10.0,FYM_N60,PFP,57,14,,99.20601684264896,-918.0046623049184,60.0,310.4361948955917,100.80033770392211,-217.01592793199757,217.01592793199757,0.0,0.8613537954328179,1.721764540488887
Province 5,Arghakhanchi,10.0,GR,AE,57,15,12.115766358328111,,0.0,120.0,310.4361948955917,310.4361948955917,0.0,-0.0,0.0,1.0,1.0
Province 5,Arghakhanchi,10.0,N180,AE,57,15,10.127074729320205,,272.9970279191343,180.0,310.4361948955917,312.66427615353354,-4.925464846809064,4.925464846809064,0.0,1.039359220975458,1.015696896460412
Province 5,Arghakhanchi,10.0,N210,AE,57,15,8.737632891283274,,223.30944891291642,210.0,310.4361948955917,561.9957109687455,235.24977129357148,0.0,235.24977129357148,1.0366827733017232,0.5814029062818692
Province 5,Arghakhanchi,10.0,N60,AE,57,15,12.82310236399385,,-633.6874808252805,60.0,310.4361948955917,560.0685995691856,255.3418014253341,0.0,255.3418014253341,0.8834977021895483,0.544088346281603
Province 5,Arghakhanchi,10.0,PCU_N120,PFP,57,14,,60.05896322882709,-136.37896997580512,120.0,310.4361948955917,166.50304071849516,-151.54693138918466,151.54693138918466,0.0,0.980289223895068,0.9802079783489586
Province 5,Arghakhanchi,10.0,PCU_N60,PFP,57,15,,140.81649323964737,-371.1704202199464,60.0,310.4361948955917,71.01440868138637,-239.25075171714326,239.25075171714326,0.0,0.9642607236773413,1.9304565757126697
Province 5,Arghakhanchi,10.0,TIMING_V6_V10,AE,57,15,12.29773494844052,,-294.57837753221366,120.0,310.4361948955917,216.16788076959506,-92.35446879321222,92.35446879321222,0.0,0.9565602514446578,1.4257126185600535
Province 5,Arghakhanchi,10.0,UDP_N78,PFP,57,15,,113.03774811547657,-992.1071653269936,78.0,310.4361948955917,88.46602278191394,-221.57373758213072,221.57373758213072,0.0,0.9208348926090336,1.4169525429740157
Province 5,Banke,6.0,FYM_N60,PFP,131,11,,119.22179372968434,-836.6947077873142,60.0,159.5192575406032,50.326369133516025,-105.77304207343434,105.77304207343434,0.0,0.8941968025512671,1.7893964592378242
Province 5,Banke,6.0,GR,AE,131,11,12.745306402850964,,0.0,120.0,159.5192575406032,159.5192575406032,0.0,-0.0,0.0,1.0,1.0
Province 5,Banke,6.0,N180,AE,131,11,10.320436536575441,,185.1998718516333,180.0,159.5192575406032,221.45327230570408,63.380473932237464,0.0,63.380473932237464,1.0199822051629333,0.6903030931657224
Province 5,Banke,6.0,N210,AE,131,11,8.896410580004073,,226.12725482468596,210.0,159.5192575406032,260.7936045710985,93.29855116697738,0.0,93.29855116697738,1.0216163825995155,0.6362671303980273
Province 5,Banke,6.0,N60,AE,131,11,20.80171362881058,,-819.497553307984,60.0,159.5192575406032,114.23872938256221,-45.79926314866805,45.79926314866805,0.0,0.9122989294465337,1.387603120629864
Province 5,Banke,6.0,PCU_N120,PFP,131,11,,62.31358349611382,40.752589489510264,120.0,159.5192575406032,96.28719234826528,-64.338079951801,64.338079951801,0.0,1.0020026654677132,1.002329158601737
Province 5,Banke,6.0,PCU_N60,PFP,131,11,,112.17200587123862,-312.96158811219806,60.0,159.5192575406032,53.48928151367244,-106.38468519211719,106.38468519211719,0.0,0.949814802618013,1.9012154918314752
Province 5,Banke,6.0,TIMING_V6_V10,AE,131,11,12.4944624238398,,220.48771393955312,120.0,159.5192575406032,58.051723212376295,-103.11629996171212,103.11629996171212,0.0,1.0355432771207342,2.8496856787065683
Province 5,Banke,6.0,UDP_N78,PFP,131,11,,90.61728517214674,93.22515220673591,78.0,159.5192575406032,66.21253316739437,-92.33836033533623,92.33836033533623,0.0,1.0326001290348186,1.5908677136419904
Province 5,Banke,8.0,FYM_N60,PFP,131,11,,119.22179372968434,-836.6947077873142,60.0,259.51925754060323,67.1018255113547,-187.09458247057822,187.09458247057822,0.0,0.8941968025512671,1.7893964592378242
Province 5,Banke,8.0,GR,AE,131,11,12.745306402850964,,0.0,120.0,259.51925754060323,259.51925754060323,0.0,-0.0,0.0,1.0,1.0
Province 5,Banke,8.0,N180,AE,131,11,10.320436536575441,,185.1998718516333,180.0,259.51925754060323,360.99705672598895,104.65446545846183,0.0,104.65446545846183,1.0199822051629333,0.6903030931657224
Province 5,Banke,8.0,N210,AE,131,11,8.896410580004073,,226.12725482468596,210.0,259.51925754060323,420.37531863777645,150.61842165508818,0.0,150.61842165508818,1.0216163825995155,0.6362671303980273
Province 5,Banke,8.0,N60,AE,131,11,20.80171362881058,,-819.497553307984,60.0,259.51925754060323,190.32488093283226,-75.92154252532558,75.92154252532558,0.0,0.9122989294465337,1.387603120629864
Province 5,Banke,8.0,PCU_N120,PFP,131,11,,62.31358349611382,40.752589489510264,120.0,259.51925754060323,128.38292313102036,-131.28081984193327,131.28081984193327,0.0,1.0020026654677132,1.002329158601737
Province 5,Banke,8.0,PCU_N60,PFP,131,11,,112.17200587123862,-312.96158811219806,60.0,259.51925754060323,71.31904201822991,-187.44137536482816,187.44137536482816,0.0,0.949814802618013,1.9012154918314752
Province 5,Banke,8.0,TIMING_V6_V10,AE,131,11,12.4944624238398,,220.48771393955312,120.0,259.51925754060323,92.8426524300265,-168.2400421333569,168.2400421333569,0.0,1.0355432771207342,2.8496856787065683
Province 5,Banke,8.0,UDP_N78,PFP,131,11,,90.61728517214674,93.22515220673591,78.0,259.51925754060323,88.28337755652583,-169.54484553556097,169.54484553556097,0.0,1.0326001290348186,1.5908677136419904
Province 5,Banke,10.0,FYM_N60,PFP,131,11,,119.22179372968434,-836.6947077873142,60.0,359.51925754060323,83.87728188919337,-269.98488122850034,269.98488122850034,0.0,0.8941968025512671,1.7893964592378242
Province 5,Banke,10.0,GR,AE,131,11,12.745306402850964,,0.0,120.0,359.51925754060323,359.51925754060323,0.0,-0.0,0.0,1.0,1.0
Province 5,Banke,10.0,N180,AE,131,11,10.320436536575441,,185.1998718516333,180.0,359.51925754060323,498.8452069149068,150.77651661391104,0.0,150.77651661391104,1.0199822051629333,0.6903030931657224
Province 5,Banke,10.0,N210,AE,131,11,8.896410580004073,,226.12725482468596,210.0,359.51925754060323,575.3907300774531,205.5359139045945,0.0,205.5359139045945,1.0216163825995155,0.6362671303980273
Province 5,Banke,10.0,N60,AE,131,11,20.80171362881058,,-819.497553307984,60.0,359.51925754060323,264.5521895453545,-104.39686186935887,104.39686186935887,0.0,0.9122989294465337,1.387603120629864
Province 5,Banke,10.0,PCU_N120,PFP,131,11,,62.31358349611382,40.752589489510264,120.0,359.51925754060323,160.47865391377545,-198.92597114918658,198.92597114918658,0.0,1.0020026654677132,1.002329158601737
Province 5,Banke,10.0,PCU_N60,PFP,131,11,,112.17200587123862,-312.96158811219806,60.0,359.51925754060323,89.14880252278739,-268.7720586068012,268.7720586068012,0.0,0.949814802618013,1.9012154918314752
