province,district,target_yield_t_ha,strategy,efficiency_metric,n_pixels,supported_pixels,median_predicted_AE_N,median_predicted_PFP_N,median_predicted_yield_difference_from_GR_kg_ha,strategy_N_rate_kg_ha,median_reference_N_kg_ha,median_N_required_for_same_target_yield,median_N_change_for_same_target_yield,median_N_reduction_for_same_target_yield,median_N_increase_for_same_target_yield,median_predicted_yield_retention,median_efficiency_ratio_to_GR
Karnali,Rukum_w,10.0,N210,AE,12,0,5.820834453324397,,216.52994491916257,210.0,318.4431554524362,1172.0767415786029,853.9471592120135,0.0,853.9471592120135,1.0515704960150218,0.2747602656307717
Karnali,Rukum_w,10.0,N60,AE,12,0,10.09253917079239,,-349.2607333738373,60.0,318.4431554524362,283.13846943526937,-39.1952527660719,60.69985407230418,21.504601306232274,0.9413506041643243,1.3069966135928972
Karnali,Rukum_w,10.0,PCU_N120,PFP,12,0,,57.64042108921057,-52.41284750146565,120.0,318.4431554524362,173.4894058151733,-148.3180786394493,148.3180786394493,0.0,0.9906028713278776,0.9906777271552158
Karnali,Rukum_w,10.0,PCU_N60,PFP,12,0,,131.50998262668668,-942.2872297489637,60.0,318.4431554524362,76.04012840254774,-243.13080661519285,243.13080661519285,0.0,0.9245128770613333,1.8442569127451875
Karnali,Rukum_w,10.0,TIMING_V6_V10,AE,12,0,12.633464712651984,,-248.9471795198548,120.0,318.4431554524362,204.7366592619598,-111.61210920163886,111.61210920163886,0.0,0.9568784899606206,1.5336112802322344
Karnali,Rukum_w,10.0,UDP_N78,PFP,12,0,,97.69044707946296,-1571.143229786108,78.0,318.4431554524362,102.36418074332241,-217.6737658441569,217.6737658441569,0.0,0.876145111034988,1.350158232446612
Karnali,Salyan,6.0,FYM_N60,PFP,138,44,,101.68097001162315,-777.6903104396085,60.0,101.0359048723898,59.00809187905493,-42.52619209727435,42.52619209727435,0.0,0.897927278208166,1.7936418193838373
Karnali,Salyan,6.0,GR,AE,138,51,9.592798244249499,,0.0,120.0,101.0359048723898,101.0359048723898,0.0,-0.0,0.0,1.0,1.0
Karnali,Salyan,6.0,N180,AE,138,51,8.445577210587254,,413.72240108020173,180.0,101.0359048723898,91.37309533977923,-8.93248529962856,8.93248529962856,0.0,1.057945434053202,1.1005973776349003
Karnali,Salyan,6.0,N210,AE,138,51,4.94933138031406,,209.03438556438377,210.0,101.0359048723898,188.34807379872615,74.32927467601482,0.0,74.32927467601482,1.0391361246928377,0.5547982190847158
Karnali,Salyan,6.0,N60,AE,138,51,5.868556280482711,,-445.5271413753599,60.0,101.0359048723898,161.91415372334114,54.24034951288011,0.0,54.24034951288011,0.9006664715928174,0.6575413633586609
Karnali,Salyan,6.0,PCU_N120,PFP,138,44,,58.034966063129374,-97.38069675075309,120.0,101.0359048723898,103.3859484478103,3.6862607508886,0.0,3.6862607508886,0.9845213479214294,0.9843602088724623
Karnali,Salyan,6.0,PCU_N60,PFP,138,50,,134.66565575771415,-106.05577943278033,60.0,101.0359048723898,44.554790092442204,-57.11899176927119,57.11899176927119,0.0,1.0062643821830566,2.012143067835659
Karnali,Salyan,6.0,TIMING_V6_V10,AE,138,49,12.500446495394376,,-119.92965586883693,120.0,101.0359048723898,61.86340819940366,-38.99438293683204,38.99438293683204,0.0,0.9771899331394582,1.6565077806976287
Karnali,Salyan,6.0,UDP_N78,PFP,138,50,,102.6842786951853,-941.5762337973786,78.0,101.0359048723898,58.431536430415235,-42.980759083133066,42.980759083133066,0.0,0.9389030950761856,1.4432493727282714
Karnali,Salyan,8.0,FYM_N60,PFP,138,44,,101.68097001162315,-777.6903104396085,60.0,201.03590487238978,78.6774558387399,-122.57593207710825,122.57593207710825,0.0,0.897927278208166,1.7936418193838373
Karnali,Salyan,8.0,GR,AE,138,51,9.592798244249499,,0.0,120.0,201.03590487238978,201.03590487238978,0.0,-0.0,0.0,1.0,1.0
Karnali,Salyan,8.0,N180,AE,138,51,8.445577210587254,,413.72240108020173,180.0,201.03590487238978,184.0421262074322,-17.775543492989897,17.775543492989897,0.0,1.057945434053202,1.1005973776349003
Karnali,Salyan,8.0,N210,AE,138,51,4.94933138031406,,209.03438556438377,210.0,201.03590487238978,359.12339365531795,149.52633378491257,0.0,149.52633378491257,1.0391361246928377,0.5547982190847158
Karnali,Salyan,8.0,N60,AE,138,51,5.868556280482711,,-445.5271413753599,60.0,201.03590487238978,313.02482868044547,106.03725080672126,0.0,106.03725080672126,0.9006664715928174,0.6575413633586609
Karnali,Salyan,8.0,PCU_N120,PFP,138,44,,58.034966063129374,-97.38069675075309,120.0,201.03590487238978,137.84793126374709,-61.82961567204312,61.82961567204312,0.0,0.9845213479214294,0.9843602088724623
Karnali,Salyan,8.0,PCU_N60,PFP,138,50,,134.66565575771415,-106.05577943278033,60.0,201.03590487238978,59.406386789922934,-142.41822645802284,142.41822645802284,0.0,1.0062643821830566,2.012143067835659
Karnali,Salyan,8.0,TIMING_V6_V10,AE,138,49,12.500446495394376,,-119.92965586883693,120.0,201.03590487238978,123.48732296076017,-79.35687999445864,79.35687999445864,0.0,0.9771899331394582,1.6565077806976287
Karnali,Salyan,8.0,UDP_N78,PFP,138,50,,102.6842786951853,-941.5762337973786,78.0,201.03590487238978,77.90871524055365,-123.61605049208404,123.61605049208404,0.0,0.9389030950761856,1.4432493727282714
Karnali,Salyan,10.0,FYM_N60,PFP,138,44,,101.68097001162315,-777.6903104396085,60.0,301.0359048723898,98.34681979842489,-203.27729966617164,203.27729966617164,0.0,0.897927278208166,1.7936418193838373
Karnali,Salyan,10.0,GR,AE,138,51,9.592798244249499,,0.0,120.0,301.0359048723898,301.0359048723898,0.0,-0.0,0.0,1.0,1.0
Karnali,Salyan,10.0,N180,AE,138,51,8.445577210587254,,413.72240108020173,180.0,301.0359048723898,274.40788048786203,-26.82066736461846,26.82066736461846,0.0,1.057945434053202,1.1005973776349003
Karnali,Salyan,10.0,N210,AE,138,51,4.94933138031406,,209.03438556438377,210.0,301.0359048723898,524.4087190283858,237.29873021470488,0.0,237.29873021470488,1.0391361246928377,0.5547982190847158
Karnali,Salyan,10.0,N60,AE,138,51,5.868556280482711,,-445.5271413753599,60.0,301.0359048723898,462.61649109968585,157.97500339744525,0.0,157.97500339744525,0.9006664715928174,0.6575413633586609
Karnali,Salyan,10.0,PCU_N120,PFP,138,44,,58.034966063129374,-97.38069675075309,120.0,301.0359048723898,172.30991407968384,-126.81624135271183,126.81624135271183,0.0,0.9845213479214294,0.9843602088724623
Karnali,Salyan,10.0,PCU_N60,PFP,138,50,,134.66565575771415,-106.05577943278033,60.0,301.0359048723898,74.25798348740366,-227.7174611467745,227.7174611467745,0.0,1.0062643821830566,2.012143067835659
Karnali,Salyan,10.0,TIMING_V6_V10,AE,138,49,12.500446495394376,,-119.92965586883693,120.0,301.0359048723898,183.00924781508917,-119.61939785996023,119.61939785996023,0.0,0.9771899331394582,1.6565077806976287
Karnali,Salyan,10.0,UDP_N78,PFP,138,50,,102.6842786951853,-941.5762337973786,78.0,301.0359048723898,97.38589405069206,-203.8438856790629,203.8438856790629,0.0,0.9389030950761856,1.4432493727282714
Karnali,Surkhet,6.0,FYM_N60,PFP,84,52,,130.7884215719335,-610.2002912802229,60.0,69.36206496519722,45.8762051072806,-22.473090145025633,22.473090145025633,0.0,0.9306584781397967,1.8625242525985777
Karnali,Surkhet,6.0,GR,AE,84,60,15.624412429374669,,0.0,120.0,69.36206496519722,69.36206496519722,0.0,-0.0,0.0,1.0,1.0
Karnali,Surkhet,6.0,N180,AE,84,60,12.80810585893349,,225.71299458930886,180.0,69.36206496519722,77.42846528233227,13.92724679600451,0.0,13.92724679600451,1.0273340230185188,0.8339350221860389
Karnali,Surkhet,6.0,N210,AE,84,60,9.636232297764792,,53.09513987530083,210.0,69.36206496519722,111.85763107637872,36.67936240891804,0.0,36.67936240891804,1.03105927625927,0.6773712298682638
Karnali,Surkhet,6.0,N60,AE,84,60,27.33290047788461,,-404.7540225048267,60.0,69.36206496519722,46.3601181120742,-26.017253187309965,26.017253187309965,0.0,0.9618749731201799,1.680594081786126
Karnali,Surkhet,6.0,PCU_N120,PFP,84,52,,65.6886849481389,-79.10009303269388,120.0,69.36206496519722,91.33993357258494,20.839263857217464,0.0,20.839263857217464,0.9895465236441761,0.9895421288455092
Karnali,Surkhet,6.0,PCU_N60,PFP,84,59,,140.65462655476392,-154.26274709790033,60.0,69.36206496519722,42.65768377511762,-26.79556127993349,26.79556127993349,0.0,0.9842474068782219,1.9697666190825287
Karnali,Surkhet,6.0,TIMING_V6_V10,AE,84,58,11.243893634480699,,29.642103823985682,120.0,69.36206496519722,57.516552230960855,-6.811536666642004,6.811536666642004,0.0,1.0143076599080065,1.2238301416555322
Karnali,Surkhet,6.0,UDP_N78,PFP,84,59,,113.51346364740361,72.3784037468823,78.0,69.36206496519722,52.85747646179531,-17.046161085323508,17.046161085323508,0.0,1.0134424462751936,1.5575029859456264
Karnali,Surkhet,8.0,FYM_N60,PFP,84,52,,130.7884215719335,-610.2002912802229,60.0,169.36206496519722,61.168273476374125,-107.02178288233051,107.02178288233051,0.0,0.9306584781397967,1.8625242525985777
Karnali,Surkhet,8.0,GR,AE,84,60,15.624412429374669,,0.0,120.0,169.36206496519722,169.36206496519722,0.0,-0.0,0.0,1.0,1.0
Karnali,Surkhet,8.0,N180,AE,84,60,12.80810585893349,,225.71299458930886,180.0,169.36206496519722,198.4626798320529,34.23064905669051,0.0,34.23064905669051,1.0273340230185188,0.8339350221860389
Karnali,Surkhet,8.0,N210,AE,84,60,9.636232297764792,,53.09513987530083,210.0,169.36206496519722,268.327317600825,83.81617051445033,0.0,83.81617051445033,1.03105927625927,0.6773712298682638
Karnali,Surkhet,8.0,N60,AE,84,60,27.33290047788461,,-404.7540225048267,60.0,169.36206496519722,114.8693780081542,-69.13362787354765,69.13362787354765,0.0,0.9618749731201799,1.680594081786126
Karnali,Surkhet,8.0,PCU_N120,PFP,84,52,,65.6886849481389,-79.10009303269388,120.0,169.36206496519722,121.78657809677992,-51.45068376655613,51.45068376655613,0.0,0.9895465236441761,0.9895421288455092
Karnali,Surkhet,8.0,PCU_N60,PFP,84,59,,140.65462655476392,-154.26274709790033,60.0,169.36206496519722,56.876911700156825,-112.92292934772262,112.92292934772262,0.0,0.9842474068782219,1.9697666190825287
Karnali,Surkhet,8.0,TIMING_V6_V10,AE,84,58,11.243893634480699,,29.642103823985682,120.0,169.36206496519722,147.15208455156423,-26.799648338460784,26.799648338460784,0.0,1.0143076599080065,1.2238301416555322
Karnali,Surkhet,8.0,UDP_N78,PFP,84,59,,113.51346364740361,72.3784037468823,78.0,169.36206496519722,70.47663528239374,-99.5216529003147,99.5216529003147,0.0,1.0134424462751936,1.5575029859456264
Karnali,Surkhet,10.0,FYM_N60,PFP,84,52,,130.7884215719335,-610.2002912802229,60.0,269.3620649651972,76.46034184546767,-190.24750517851726,190.24750517851726,0.0,0.9306584781397967,1.8625242525985777
Karnali,Surkhet,10.0,GR,AE,84,60,15.624412429374669,,0.0,120.0,269.3620649651972,269.3620649651972,0.0,-0.0,0.0,1.0,1.0
Karnali,Surkhet,10.0,N180,AE,84,60,12.80810585893349,,225.71299458930886,180.0,269.3620649651972,326.2316643864509,54.28203117121319,0.0,54.28203117121319,1.0273340230185188,0.8339350221860389
Karnali,Surkhet,10.0,N210,AE,84,60,9.636232297764792,,53.09513987530083,210.0,269.3620649651972,412.88080912067056,129.42446898666387,0.0,129.42446898666387,1.03105927625927,0.6773712298682638
Karnali,Surkhet,10.0,N60,AE,84,60,27.33290047788461,,-404.7540225048267,60.0,269.3620649651972,180.75843811800823,-111.28256400266434,111.28256400266434,0.0,0.9618749731201799,1.680594081786126
Karnali,Surkhet,10.0,PCU_N120,PFP,84,52,,65.6886849481389,-79.10009303269388,120.0,269.3620649651972,152.2332226209749,-121.94429914678587,121.94429914678587,0.0,0.9895465236441761,0.9895421288455092
Karnali,Surkhet,10.0,PCU_N60,PFP,84,59,,140.65462655476392,-154.26274709790033,60.0,269.3620649651972,71.09613962519603,-199.35208575013874,199.35208575013874,0.0,0.9842474068782219,1.9697666190825287
Karnali,Surkhet,10.0,TIMING_V6_V10,AE,84,58,11.243893634480699,,29.642103823985682,120.0,269.3620649651972,230.32577795813515,-45.630093320689966,45.630093320689966,0.0,1.0143076599080065,1.2238301416555322
Karnali,Surkhet,10.0,UDP_N78,PFP,84,59,,113.51346364740361,72.3784037468823,78.0,269.3620649651972,88.09579410299219,-181.88978065716418,181.88978065716418,0.0,1.0134424462751936,1.5575029859456264
Province 5,Arghakhanchi,6.0,FYM_N60,PFP,57,14,,99.20601684264896,-918.0046623049184,60.0,110.43619489559168,60.48020262235327,-55.705685301751316,55.705685301751316,0.0,0.8613537954328181,1.7217645404888868
Province 5,Arghakhanchi,6.0,GR,AE,57,15,12.115766358328113,,0.0,120.0,110.43619489559168,110.43619489559168,0.0,-0.0,0.0,1.0,1.0
Province 5,Arghakhanchi,6.0,N180,AE,57,15,10.127074729320203,,272.9970279191341,180.0,110.43619489559168,110.88241028901118,-1.834602500943106,1.834602500943106,0.0,1.0393592209754583,1.0156968964604123
Province 5,Arghakhanchi,6.0,N210,AE,57,15,8.737632891283274,,223.30944891291637,210.0,110.43619489559168,201.27992435604148,91.25424282430338,0.0,91.25424282430338,1.0366827733017232,0.5814029062818691
Province 5,Arghakhanchi,6.0,N60,AE,57,15,12.823102363993849,,-633.6874808252808,60.0,110.43619489559168,192.66185857964385,87.75443924998936,0.0,87.75443924998936,0.8834977021895484,0.5440883462816029
Province 5,Arghakhanchi,6.0,PCU_N120,PFP,57,14,,60.0589632288271,-136.3789699758051,120.0,110.43619489559168,99.90182443109707,-16.624247645391648,16.624247645391648,0.0,0.9802892238950683,0.9802079783489586
Province 5,Arghakhanchi,6.0,PCU_N60,PFP,57,15,,140.81649323964737,-371.1704202199464,60.0,110.43619489559168,42.608645208831824,-68.82809610338632,68.82809610338632,0.0,0.9642607236773412,1.9304565757126697
Province 5,Arghakhanchi,6.0,TIMING_V6_V10,AE,57,15,12.297734948440517,,-294.5783775322136,120.0,110.43619489559168,75.81287197680884,-32.5870523789324,32.5870523789324,0.0,0.9565602514446578,1.4257126185600535
Province 5,Arghakhanchi,6.0,UDP_N78,PFP,57,15,,113.03774811547655,-992.1071653269937,78.0,110.43619489559168,53.07961366914838,-57.11872050751512,57.11872050751512,0.0,0.9208348926090336,1.4169525429740162
Province 5,Arghakhanchi,8.0,FYM_N60,PFP,57,14,,99.20601684264896,-918.0046623049184,60.0,210.43619489559168,80.64027016313769,-137.18585865471846,137.18585865471846,0.0,0.8613537954328181,1.7217645404888868
Province 5,Arghakhanchi,8.0,GR,AE,57,15,12.115766358328113,,0.0,120.0,210.43619489559168,210.43619489559168,0.0,-0.0,0.0,1.0,1.0
Province 5,Arghakhanchi,8.0,N180,AE,57,15,10.127074729320203,,272.9970279191341,180.0,210.43619489559168,208.47349152142755,-3.380033673876113,3.380033673876113,0.0,1.0393592209754583,1.0156968964604123
Province 5,Arghakhanchi,8.0,N210,AE,57,15,8.737632891283274,,223.30944891291637,210.0,210.43619489559168,387.69171536729095,163.25200705893747,0.0,163.25200705893747,1.0366827733017232,0.5814029062818691
Province 5,Arghakhanchi,8.0,N60,AE,57,15,12.823102363993849,,-633.6874808252808,60.0,210.43619489559168,376.2749184815133,171.5481203376618,0.0,171.5481203376618,0.8834977021895484,0.5440883462816029
Province 5,Arghakhanchi,8.0,PCU_N120,PFP,57,14,,60.0589632288271,-136.3789699758051,120.0,210.43619489559168,133.2024325747961,-84.18201516480397,84.18201516480397,0.0,0.9802892238950683,0.9802079783489586
Province 5,Arghakhanchi,8.0,PCU_N60,PFP,57,15,,140.81649323964737,-371.1704202199464,60.0,210.43619489559168,56.8115269451091,-153.1896500976125,153.1896500976125,0.0,0.9642607236773412,1.9304565757126697
Province 5,Arghakhanchi,8.0,TIMING_V6_V10,AE,57,15,12.297734948440517,,-294.5783775322136,120.0,210.43619489559168,145.26136638752078,-62.45860852085164,62.45860852085164,0.0,0.9565602514446578,1.4257126185600535
Province 5,Arghakhanchi,8.0,UDP_N78,PFP,57,15,,113.03774811547655,-992.1071653269937,78.0,210.43619489559168,70.77281822553117,-139.319777260993,139.319777260993,0.0,0.9208348926090336,1.4169525429740162
Province 5,Arghakhanchi,10.0,FYM_N60,PFP,57,14,,99.20601684264896,-918.0046623049184,60.0,310.4361948955917,100.80033770392211,-217.01592793199754,217.01592793199754,0.0,0.8613537954328181,1.7217645404888868
Province 5,Arghakhanchi,10.0,GR,AE,57,15,12.115766358328113,,0.0,120.0,310.4361948955917,310.4361948955917,0.0,-0.0,0.0,1.0,1.0
Province 5,Arghakhanchi,10.0,N180,AE,57,15,10.127074729320203,,272.9970279191341,180.0,310.4361948955917,312.66427615353354,-4.9254648468091204,4.9254648468091204,0.0,1.0393592209754583,1.0156968964604123
Province 5,Arghakhanchi,10.0,N210,AE,57,15,8.737632891283274,,223.30944891291637,210.0,310.4361948955917,561.9957109687456,235.2497712935716,0.0,235.2497712935716,1.0366827733017232,0.5814029062818691
Province 5,Arghakhanchi,10.0,N60,AE,57,15,12.823102363993849,,-633.6874808252808,60.0,310.4361948955917,560.0685995691857,255.3418014253342,0.0,255.3418014253342,0.8834977021895484,0.5440883462816029
Province 5,Arghakhanchi,10.0,PCU_N120,PFP,57,14,,60.0589632288271,-136.3789699758051,120.0,310.4361948955917,166.5030407184951,-151.54693138918466,151.54693138918466,0.0,0.9802892238950683,0.9802079783489586
Province 5,Arghakhanchi,10.0,PCU_N60,PFP,57,15,,140.81649323964737,-371.1704202199464,60.0,310.4361948955917,71.01440868138637,-239.25075171714326,239.25075171714326,0.0,0.9642607236773412,1.9304565757126697
Province 5,Arghakhanchi,10.0,TIMING_V6_V10,AE,57,15,12.297734948440517,,-294.5783775322136,120.0,310.4361948955917,216.1678807695951,-92.35446879321222,92.35446879321222,0.0,0.9565602514446578,1.4257126185600535
Province 5,Arghakhanchi,10.0,UDP_N78,PFP,57,15,,113.03774811547655,-992.1071653269937,78.0,310.4361948955917,88.46602278191396,-221.57373758213078,221.57373758213078,0.0,0.9208348926090336,1.4169525429740162
Province 5,Banke,6.0,FYM_N60,PFP,131,11,,119.22179372968434,-836.6947077873142,60.0,159.5192575406032,50.326369133516025,-105.77304207343434,105.77304207343434,0.0,0.8941968025512671,1.7893964592378244
Province 5,Banke,6.0,GR,AE,131,11,12.745306402850968,,0.0,120.0,159.5192575406032,159.5192575406032,0.0,-0.0,0.0,1.0,1.0
Province 5,Banke,6.0,N180,AE,131,11,10.320436536575443,,185.1998718516334,180.0,159.5192575406032,221.4532723057041,63.380473932237464,0.0,63.380473932237464,1.019982205162933,0.6903030931657222
Province 5,Banke,6.0,N210,AE,131,11,8.896410580004073,,226.1272548246861,210.0,159.5192575406032,260.7936045710985,93.29855116697738,0.0,93.29855116697738,1.0216163825995155,0.6362671303980274
Province 5,Banke,6.0,N60,AE,131,11,20.80171362881058,,-819.4975533079843,60.0,159.5192575406032,114.23872938256221,-45.79926314866805,45.79926314866805,0.0,0.9122989294465337,1.387603120629864
Province 5,Banke,6.0,PCU_N120,PFP,131,11,,62.313583496113814,40.75258948951023,120.0,159.5192575406032,96.28719234826528,-64.338079951801,64.338079951801,0.0,1.0020026654677132,1.0023291586017369
Province 5,Banke,6.0,PCU_N60,PFP,131,11,,112.17200587123861,-312.96158811219817,60.0,159.5192575406032,53.489281513672445,-106.38468519211719,106.38468519211719,0.0,0.9498148026180132,1.9012154918314752
Province 5,Banke,6.0,TIMING_V6_V10,AE,131,11,12.4944624238398,,220.48771393955306,120.0,159.5192575406032,58.051723212376295,-103.11629996171212,103.11629996171212,0.0,1.0355432771207345,2.8496856787065683
Province 5,Banke,6.0,UDP_N78,PFP,131,11,,90.61728517214674,93.2251522067359,78.0,159.5192575406032,66.21253316739437,-92.33836033533623,92.33836033533623,0.0,1.0326001290348188,1.5908677136419904
Province 5,Banke,8.0,FYM_N60,PFP,131,11,,119.22179372968434,-836.6947077873142,60.0,259.51925754060323,67.1018255113547,-187.09458247057825,187.09458247057825,0.0,0.8941968025512671,1.7893964592378244
Province 5,Banke,8.0,GR,AE,131,11,12.745306402850968,,0.0,120.0,259.51925754060323,259.51925754060323,0.0,-0.0,0.0,1.0,1.0
Province 5,Banke,8.0,N180,AE,131,11,10.320436536575443,,185.1998718516334,180.0,259.51925754060323,360.997056725989,104.65446545846183,0.0,104.65446545846183,1.019982205162933,0.6903030931657222
Province 5,Banke,8.0,N210,AE,131,11,8.896410580004073,,226.1272548246861,210.0,259.51925754060323,420.3753186377764,150.61842165508818,0.0,150.61842165508818,1.0216163825995155,0.6362671303980274
Province 5,Banke,8.0,N60,AE,131,11,20.80171362881058,,-819.4975533079843,60.0,259.51925754060323,190.32488093283226,-75.92154252532558,75.92154252532558,0.0,0.9122989294465337,1.387603120629864
Province 5,Banke,8.0,PCU_N120,PFP,131,11,,62.313583496113814,40.75258948951023,120.0,259.51925754060323,128.3829231310204,-131.28081984193324,131.28081984193324,0.0,1.0020026654677132,1.0023291586017369
Province 5,Banke,8.0,PCU_N60,PFP,131,11,,112.17200587123861,-312.96158811219817,60.0,259.51925754060323,71.31904201822992,-187.4413753648282,187.4413753648282,0.0,0.9498148026180132,1.9012154918314752
Province 5,Banke,8.0,TIMING_V6_V10,AE,131,11,12.4944624238398,,220.48771393955306,120.0,259.51925754060323,92.8426524300265,-168.2400421333569,168.2400421333569,0.0,1.0355432771207345,2.8496856787065683
Province 5,Banke,8.0,UDP_N78,PFP,131,11,,90.61728517214674,93.2251522067359,78.0,259.51925754060323,88.28337755652583,-169.54484553556097,169.54484553556097,0.0,1.0326001290348188,1.5908677136419904
Province 5,Banke,10.0,FYM_N60,PFP,131,11,,119.22179372968434,-836.6947077873142,60.0,359.51925754060323,83.87728188919337,-269.98488122850034,269.98488122850034,0.0,0.8941968025512671,1.7893964592378244
Province 5,Banke,10.0,GR,AE,131,11,12.745306402850968,,0.0,120.0,359.51925754060323,359.51925754060323,0.0,-0.0,0.0,1.0,1.0
Province 5,Banke,10.0,N180,AE,131,11,10.320436536575443,,185.1998718516334,180.0,359.51925754060323,498.8452069149068,150.77651661391104,0.0,150.77651661391104,1.019982205162933,0.6903030931657222
Province 5,Banke,10.0,N210,AE,131,11,8.896410580004073,,226.1272548246861,210.0,359.51925754060323,575.3907300774531,205.5359139045945,0.0,205.5359139045945,1.0216163825995155,0.6362671303980274
Province 5,Banke,10.0,N60,AE,131,11,20.80171362881058,,-819.4975533079843,60.0,359.51925754060323,264.55218954535445,-104.39686186935887,104.39686186935887,0.0,0.9122989294465337,1.387603120629864
Province 5,Banke,10.0,PCU_N120,PFP,131,11,,62.313583496113814,40.75258948951023,120.0,359.51925754060323,160.47865391377547,-198.92597114918658,198.92597114918658,0.0,1.0020026654677132,1.0023291586017369
Province 5,Banke,10.0,PCU_N60,PFP,131,11,,112.17200587123861,-312.96158811219817,60.0,359.51925754060323,89.1488025227874,-268.7720586068012,268.7720586068012,0.0,0.9498148026180132,1.9012154918314752
